Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,IsPersonalBest,Compound_lap,TyreLife,FreshTyre,Team,Position,LapTimeSeconds_lap,TrackTemp,AirTemp,Humidity,WindSpeed
0 days 01:11:17.392000,BOR,5,0 days 00:01:39.100000,7,2,,,False,HARD,6,True,Kick Sauber,19,99.1,35.4,27.4,18.0,1.0
0 days 01:12:06.202000,PIA,81,0 days 00:01:38.193000,8,1,,,False,MEDIUM,8,True,McLaren,1,98.193,35.4,27.4,18.0,1.0
0 days 01:12:07.633000,NOR,4,0 days 00:01:38.287000,8,1,,,False,MEDIUM,8,True,McLaren,2,98.287,35.4,27.4,18.0,1.0
0 days 01:12:09.727000,RUS,63,0 days 00:01:38.715000,8,1,,,False,MEDIUM,8,True,Mercedes,3,98.715,35.4,27.4,18.0,1.0
0 days 01:12:11.547000,HAM,44,0 days 00:01:38.652000,8,1,,,False,MEDIUM,8,True,Ferrari,4,98.652,35.4,27.4,18.0,1.0
0 days 01:12:12.259000,LEC,16,0 days 00:01:38.478000,8,1,,,False,MEDIUM,8,True,Ferrari,5,98.478,35.4,27.4,18.0,1.0
0 days 01:12:16.021000,VER,1,0 days 00:01:39.084000,8,1,,,False,MEDIUM,8,True,Red Bull Racing,6,99.084,35.4,27.5,17.0,2.8
0 days 01:12:17.575000,ANT,12,0 days 00:01:39.118000,8,1,,,False,MEDIUM,8,True,Mercedes,7,99.118,35.4,27.5,17.0,2.8
0 days 01:12:19.413000,TSU,22,0 days 00:01:39.399000,8,1,,,False,MEDIUM,8,True,Racing Bulls,8,99.399,35.4,27.5,17.0,2.8
0 days 01:12:20.677000,HAD,6,0 days 00:01:39.361000,8,1,,,False,MEDIUM,8,True,Racing Bulls,9,99.361,35.4,27.5,17.0,2.8
0 days 01:12:21.405000,OCO,31,0 days 00:01:39.346000,8,1,,,False,MEDIUM,8,True,Haas F1 Team,10,99.346,35.4,27.5,17.0,2.8
0 days 01:12:22.059000,ALB,23,0 days 00:01:39.340000,8,1,,,False,MEDIUM,8,True,Williams,11,99.34,35.4,27.5,17.0,2.8
0 days 01:12:22.927000,GAS,10,0 days 00:01:39.374000,8,1,,,False,MEDIUM,8,False,Alpine,12,99.374,35.4,27.5,17.0,2.8
0 days 01:12:23.918000,STR,18,0 days 00:01:39.532000,8,1,,,False,HARD,8,True,Aston Martin,13,99.532,35.4,27.5,17.0,2.8
0 days 01:12:24.780000,SAI,55,0 days 00:01:39.548000,8,1,,,False,MEDIUM,8,True,Williams,14,99.548,35.4,27.5,17.0,2.8
0 days 01:12:26.774000,BEA,87,0 days 00:01:39.391000,8,1,,,False,HARD,8,True,Haas F1 Team,15,99.391,35.4,27.5,17.0,2.8
0 days 01:12:27.520000,DOO,7,0 days 00:01:39.322000,8,1,,,False,MEDIUM,8,False,Alpine,16,99.322,35.4,27.5,17.0,2.8
0 days 01:12:28.294000,LAW,30,0 days 00:01:39.177000,8,1,,,False,HARD,8,True,Red Bull Racing,17,99.177,35.4,27.5,17.0,2.8
